tt16166234	Katerina found a letter in her husband's jacket. She knew that reading other people's letters was not good. But her husband is not a stranger to her, is he? And from the first lines, she realized that her husband had a young mistress.	tt3454612	In a Parisian suburb of Bagnolet two receptionists who work in the lobby of the titular high-rise drift from one enigmatic situation to the next going to the pool, visiting a maze-like sex club and hunting for new employment.	tt3631112	A divorcee becomes entangled in a missing persons investigation that promises to send shockwaves throughout her life.	tt3740490	A young couple plays havoc with the union of an older couple.
tt16167164							
tt16169406	Andaman is an inspirational social drama about a quarantine centre in an unprivileged village.						
tt16171598	Humberto Solano struggles to lead an alternative lifestyle, away from the hectic city life. One night he gets a phone call which will alter his routine and put the nature of his path to the test.						
tt16174868	After the world falls into chaos, the only light is a charming new leader who rises to the head of the UN, but does he bring hope for a better future? Or is it the end of the world?						
tt16175706	A spunky teenage girl from Mindoro, moves to Manila to live with her estranged father and study in a prestigious school. She clashes with basketball varsity captain, unaware that their one-upmanship will blossom into something beautiful.						
tt16176568	An elderly couple's emotional journey to reconnect with their adult children.						
tt1617661	A young woman discovers her destiny as an heiress of intergalactic nobility and must fight to protect the inhabitants of Earth from an ancient and destructive industry.						
tt16182676							
tt16183408	After The Events That took place in Radiator Springs a few years ago , nobody Since has heard about Finn or where he might be. When an enemy reemerges and threatens Radiator Springs with a highly lethal chemical weapon Finn is brought back from his retirement for one last time. T... Read all						
tt16183464	For the first time ever, Uta - the most beloved singer in the world - will reveal herself to the world at a live concert. The voice that the whole world has been waiting for is about to resound.						
tt1618434	A New York cop and his wife go on a European vacation to reinvigorate the spark in their marriage, but end up getting framed and on the run for the death of an elderly billionaire.						
tt1618442	The last witch hunter is all that stands between humanity and the combined forces of the most horrifying witches in history.						
tt1618448	A documentary that follows undercover activists trying to stave off a man-made mass extinction.						
tt1618473	A recovering drug addict and a synth-gen created soldier struggle to find their place in the world, and how to deal with visions of an apocalypse.						
tt1619029	Following the assassination of President John F. Kennedy, First Lady Jacqueline Kennedy fights through grief and trauma to regain her faith, console her children, and define her husband's historic legacy.						
tt16194408	"Sequel to ""The Battle at Lake Changjin"". Follows the Chinese People's Volunteers (CPV) soldiers on a new task, and now their battlefield is a crucial bridge on the retreat route of American troops."						
tt16194990	Four social media influencers live stream their trip to Devil's Manor, former home to a satanic cult.						
tt16195918	A year after the death of their beloved Lily, Beau and Caden learn that she froze some of her eggs and they must decide whether they are ready to take the next step in their relationship and become parents.						
tt16196010	Following the death of his wife, a broken man spirals into an abyss of night terrors and depression and finds himself in the home of a deranged cannibal who convinces him to take his own life in the most horrific way imaginable.						
tt1620680	After the disappearance of her scientist father, three peculiar beings send Meg, her brother, and her friend to space in order to find him.						
tt1620935	The inspirational story of World Champion Boxer Vinny Pazienza who, after a near fatal car crash which left him not knowing if he'd ever walk again, made one of sports' most incredible comebacks.						
tt1620981	The eccentrically macabre family moves to a bland suburb where Wednesday Addams' friendship with the daughter of a hostile and conformist local reality show host exacerbates conflict between the families.						
tt16210172	A mob family that is not earning like they did in the past comes up with crazy idea after watching the movie, Stealing A Survivor, to kidnap someone famous for ransom. After picking their target, Tom Guiry known as Smalls from the Sandlot, they enlist the help of the director of ... Read all						
tt1621046	A biography of the civil-rights activist and labor organizer Cesar Chavez.						
tt16210710	"In a twist on ""A Christmas Carol"" and ""Groundhog Day"" a woman experiences seven years of her future over the course of one week."						
tt16210888	Forensic doctor Qing Ling travels to Sheung Shui village to look into and investigate the true events behind her brother's disappearance. The villagers are living in mortal fear of the curse of a creature known as the Water Monkey.						
tt16210912	Wang Baoyin is not going well and discovered a thing and a map and a special logo. As a result, Wang Baoyin, Fa Xiaofaoqiang and Zheng Xin, went to a Mountain and some dessert. After fighting the Jedi again and again, they found the entrance to the Asgard, so the mysterious illus... Read all						
tt16210966	Back in her hometown for her grandmother's birthday, a real estate agent reconnects with a childhood friend, bringing new possibilities in life and love.						
tt16211122	On their journey to Rameswaram, a family from North India gets involved in a series of mishaps until a stranger decides to help them out						
tt16211184	Film is a story of Gagandeep Singh and his friends. Local drug dealers put them into a dangerous web which results into unreturned ways to their homes.						
tt16211502	After Aishwarya, a teenager, goes missing after her sensual video gets leaked on social media, her father Muthupandi takes the help of the local police to find her. Will Muthupandi succeed?						
tt16212056	The film is about the brother striving to get her sister settled.						
tt16212178	Detective Ekendra Sen goes to Darjeeling for a vacation with friends Bapi and Pramatha, but gets embroiled in the mystery of a missing Vishnu idol and a precious stamp. The plot thickens when a murder takes place soon after.						
tt16220298	When her children rarely come home, lonely Siti chooses to take care of a psycho-neurotic pregnant girl. However, Siti's choice is against her children who are worried about their mother's health.						
tt16220566							
tt16220616	A film where famous athletes - World and Olympic Champions, athletes, chess players, scientists, artists talk about their path to success.						
tt16220646	'Once Upon a Time in Limburg' is a limited series set in one of the most multicultural places in Belgium: Limburg. We follow Jenne Francken, an aspiring actor from Antwerp who resides in Limburg, exploring his eccentric life with friends.						
tt16221908	A Chronicle Of The Events Surrounding The Ongoing COVID Pandemic and The Great Reset.						
tt16223874	Hassan and Atta return from the United States a few years later. They are looking for Abbas Agha's car. The car has been rented to a person named Peykan.						
tt16225236	"Two first generation Ukrainian-American brothers each on their own path towards their individual vision of the ""American Dream"""						
tt16226330	The movie is a collage and comentary of varied third party footage on news relating to each and every one of the eight Presidents of Brazil who took office since the end of the military government, from José Sarney to Jair Bolsonaro.						
tt16226674	With the rapid development of science and technology in the future, a Gene Research Company sent Shen Yiqin and others into the mysterious snowy area on the edge of the Arctic. Unexpectedly, they were attacked by unknown giant creatures.						
tt16226902	For the sake of justice, a young ranger uses his martial arts skills to against his father and brothers, and grows into the role of a true hero.						
tt16226960	"The film ""Antaryatri Mahapurush (The Walking God)"" is the life journey of Digambar Sant Acharya Vidya Sagar Ji Maharaj,.The film covers the story of his childhood till attaining the position of Acharya, his education, his sports, his love for siblings. His devotion towards his pa... Read all"						
tt16226986	A story of inheritance and the tension that defines our collective American history which explores coastal South Carolina as a site of pride and racial trauma through Gullah cultural retention and land preservation.						
tt16227002	The interlocking stories of two young Oglala Lakota men growing up on the Pine Ridge Reservation.						
tt16227014	Intrepid scientists and lovers Katia and Maurice Krafft died in a volcanic explosion doing the very thing that brought them together: unraveling the mysteries of volcanoes by capturing the most explosive imagery ever recorded.						
tt16227128	500 years ago, Monkey King caused a ruckus in the Heavenly Palace and accidentally kicked the Eight Trigrams Furnace, causing the Heavenly Fire to fall into the mortal world. In order to save the mortals, Princess Iron Fan did her best to suppress the Heavenly Fire. However, the ... Read all						
tt16227608	Whether cybercriminals, online giants or intelligence services - they all prey on users' personal data. Because control over this information is an important instrument of power in the 21st century. The documentary uses concrete case studies to present possible solutions for prot... Read all						
tt16227700	Power. On the longest night of the year, Dec. 21-22, four stories intersect.						
tt16227726	"This documentary devoted to Canadian-born star Jonathan Frid covers the fascinating life and career of the Shakespearean actor, who became a TV icon in the role of vampire, Barnabas Collins on the gothic soap opera ""Dark Shadows."""						
tt16228146	Sara migrates to Canada and keeps in touch with Surya. However, a few days later, the calls stop. Once Surya reaches Toronto, he begins his search to locate Sara.						
tt16228330	A small town farmer exacts his bloody revenge on unscrupulous town folk who try to steal his land.						
tt1622997	My Legacy follows Helen as she explores the often tenuous relationship between a mother and daughter made more complex by the legacy of residential school.						
tt16231782	In this neo-noir thriller inspired by Chinatown, the search for a missing twin sister, who is mired in a religious cult, leads Joe Haladin to make a life-changing discovery about himself.						
tt16233104	Watanuki has a special ability to see ayakashi. One day, he is led by a butterfly to a mysterious store. There, he meets the owner of the store Yuuko. She tells him that she will grant him a wish for his most precious thing.						
tt16233476	Psychological thriller where the character's strength, submerged in the landscape's majesty, leads us through a tense, bleak and chilling path.						
tt16233952	Follows a woman as her life gets upended when an engagement ring that was for someone else leads her to the person she's meant to be with.						
tt16234322	The story revolves around a former boxer DODA from a small town. The film goes through the journey of Doda, and how he can survive and overcome his past and make things right once again.						
tt16234668	Jenks has been pushed to the brink by a system that does not care about him. Desperate for life-saving medicine, he resorts to robbing a small-town drug store. But when he injures a mysterious woman involved in a black market pharmacy, his attempts to save her life may end up jeo... Read all						
tt16235010	"The Putin era in Russian politics began on 31 December 1999, after Yeltsin's resignation and shortly before the millennium celebrations. In his first New Year's address, the new Head of State assured the Russian people that ""freedom of speech, freedom of conscience, freedom of th... Read all"						
tt16235040	"When the nation and Churches were shut down during the pandemic of 2020, Pastor Rick had to find a way to con people into ""tithing"". He figured out a way by having the Praize-A-Thon performed out of his house showing on TV and the internet."						
tt16235046	Set in the 1990s, a protagonist lands in jail because of some scandal. Inside the prison He meets a man who was a dreaded criminal. Both seem to have a trick to escape from prison, and they escape as soon as they get a chance. What was the reason for the escape from prison? Why w... Read all						
tt16235128	Govinda Govinda involves the lives of two crime gangs, college back-benchers, wannabe film-maker and an actress, whose lives get entangled in ways no one can imagine.						
tt16235342	Life is an adventure for space scavengers Kip Corman and his daughter Taylor as they navigate their ship through a universe filled with monsters, aliens, and robots in order to reach the mythical Deepstar and collect the riches within.						
tt16235682	Four brothers, opposite to each other, are in the Magdalen Islands to pay tribute to their deceased father where several problems arise.						
tt16235812	Two young Hong Kong activists reflect on their resistance against China, are forced to decide between long-term imprisonment and refugee camps for a life in exile, while their movement inspires mass protests in the city they love.						
tt16236048	Honey and Sweet, a Filipino mother and daughter arrive in Copenhagen, uncertain of what the trip might lead to, but Sweet certainly does not trust her mother's Danish fiance, Fritz.						
tt16239030	At a dinner party in Vesturbær, seven friends decide to play a dangerous game. They put their phones on the table and agree that all incoming calls and messages will be shared with the party to prove that none of them have anything to hide						
tt16239334	A touching emotional connection between a father and daughter and how politics and society impact their way of life.						
tt16239932							
tt16240286	A widowed mother takes a job as an overnight security guard to keep an eye on her teenage daughter during the day. During her shift, she witnesses a murder, or does she?						
tt16241784	"""Lawrence"" is a lively, wry, and intimate portrait of Lawrence Ferlinghetti filmed across iconic San Francisco locations, from City Lights Bookstore to his painting studio at Hunters Point Shipyard. Ferlinghetti engages in spontaneous conversations, with his signature sense of hu... Read all"						
tt16243192	It tells the story of Cian, a footballer who gets attacked on a night out. He will struggle to come to terms with his career-ending injury.						
tt16243818	A road movie documentary through half-a-century of filmmaking by Zelimir Zilnik, ZZZ (JOURNAL ABOUT ZELIMIR ZILNIK) is also a journey through the history of Yugoslavia, a country that no longer exists. With the specific style of docudrama that he built over the course of his work... Read all						
tt16244198	"From the first look Kostya ""Cat"" Losev is an ordinary 14-years old boy. He doesn't do very well at school, his parents are in the middle of a divorce, and he doesn't have many friends, until one day he finds one online."						
tt16244252	"A tribute to friendship by a sinful angel. ""Every person we meet in our lives is a journey and we often feel from the beginning whether we will travel with them first class, or without luggage and with empty pockets"". Alekos Zoukas is a much loved man, a reveler and at the same t... Read all"						
tt16244274	The two danish YouTubers, Niki and Simon, bring you 30 of their best sketches, including 3 exclusive ones.						
tt16244318	In Japan, three adults fall in love with Rinko, a high school girl in the video game Love Plus. This virtual romance leads them for a whole weekend to the old seaside town of Atami, where they cross paths with two teenagers who have come to spend their first weekend together in t... Read all						
tt16244344	A muleteer and more than a thousand sheep cross cliffs and rivers to reach the heart of the Andes Mountains. Once at the top, in a small flooded valley, the muleteer feels the loneliness and the passing of time of the daily chores. Little by little he begins to lose himself in th... Read all						
tt16244474	Nermin Hanim (83), one of the first generations of immigrants to come to Germany as a worker, is diagnosed with Alzheimer's disease. Nermin's granddaughter, Didem, embarks on a journey through the memory of her grandmother who is about to disappear. It is a portrait of an immigra... Read all						
tt16244496	Expecting a Grain of Sand.						
tt16244518	Ina, the main character of DOOM DOOM, is a young single mom. Ina's mother, who is mentally unstable, also lives with her. Ina feels guilty because, unable to raise her baby to a Christian couple she knows. Ina's current life is hard and dark. But the film doesn't shed light on In... Read all						
tt16244576	Natalia's father, Ricardo, was diagnosed with Parkinson's 12 years ago; with this condition, the production of Dopamine, the neurohormone responsible for movement in the body and the feeling of happiness, stops. During those years they had a very strong family crisis, Natalia als... Read all						
tt16244624	October 18, 2019, Santiago, Chile. An increase in the price of public transportation sparks an unexpected riot. Popular anger explodes, rooted in decades of discontent as a result of a savage neoliberal system that has deprived people of the most essential services, in a country ... Read all						
tt16244828	The desire to achieve the greatest physical strength and moments of complete lack of mental strength define the life of film critic Kamil Fila during the filming of this atypical time-lapse documentary. The necessary moment of observation is broken in a longer period of time by t... Read all						
tt16244842	Las hostilidades was envisioned as a documentary but also as a visual letter to the director's family. Absence and people that never left. Santa Lucía was the town Sebastian's father spent most of his childhood and the entirety of his youth until he decided to pursue an education... Read all						
tt16244864	The almost neo-realistically stylized footage shows the everyday hustle and bustle of contemporary Bratislava whose inhabitants, in addition to their own woes, have to cope with the constant grind of urban construction, collapsing traffic and rising housing prices.						
tt16244876	Cruz, a determined Raramuri indigenous man from Mexico, and his family were driven from their land by a drug cartel because they refused to grow opium poppies. They now live in exile and fear for their lives while desperately seeking justice and a safe return to their homeland.						
tt16244900	Through his dreams, José received a gift given by the gods. Now that he is at a mature age in life, José would like to rest, but he is not allowed.						
